订单ID,日期,菜品名称,菜品分类,单价,数量,交易金额,支付方式,售卖时段
1,2022-07-03,咖喱土豆球,快餐,20,13,260,其他,晚上
2,,瓦达汉堡,快餐,20,15,300,现金,下午
3,,瓦达汉堡,快餐,20,1,20,现金,下午
4,2023-02-03,新鲜甘蔗汁,饮品,25,6,150,在线支付,晚上
5,2022-10-02,新鲜甘蔗汁,饮品,25,8,200,在线支付,傍晚
6,,瓦达汉堡,快餐,20,10,200,现金,傍晚
7,2022-05-03,新鲜甘蔗汁,饮品,25,9,225,现金,傍晚
8,,脆球点心,快餐,20,14,280,在线支付,晚上
9,2022-06-10,脆球点心,快餐,20,1,20,现金,早晨
10,,脆球点心,快餐,20,5,100,在线支付,下午
11,2022-12-01,法兰基卷,快餐,50,8,400,在线支付,下午
12,2022-07-12,瓦达汉堡,快餐,20,8,160,在线支付,晚上
13,,脆球点心,快餐,20,9,180,在线支付,下午
14,,法兰基卷,快餐,50,4,200,在线支付,早晨
15,2023-02-03,咖喱土豆球,快餐,20,3,60,现金,傍晚
16,,招牌三明治,快餐,60,11,660,其他,午夜
17,,脆球点心,快餐,20,11,220,现金,早晨
18,2022-11-05,脆球点心,快餐,20,10,200,现金,晚上
19,,脆球点心,快餐,20,11,220,现金,晚上
20,,冰咖啡,饮品,40,10,400,在线支付,晚上
21,,冰咖啡,饮品,40,15,600,现金,傍晚
22,2022-10-04,新鲜甘蔗汁,饮品,25,12,300,在线支付,傍晚
23,,招牌三明治,快餐,60,3,180,在线支付,午夜
24,2023-02-11,新鲜甘蔗汁,饮品,25,10,250,在线支付,下午
25,,招牌三明治,快餐,60,1,60,在线支付,傍晚
26,,新鲜甘蔗汁,饮品,25,4,100,现金,下午
27,2022-10-12,冰咖啡,饮品,40,11,440,在线支付,下午
28,2023-01-06,冰咖啡,饮品,40,10,400,在线支付,下午
29,2023-02-10,新鲜甘蔗汁,饮品,25,9,225,在线支付,下午
30,,法兰基卷,快餐,50,2,100,现金,晚上
31,,冰咖啡,饮品,40,13,520,在线支付,傍晚
32,2022-05-06,咖喱土豆球,快餐,20,4,80,其他,早晨
33,2023-02-05,咖喱土豆球,快餐,20,13,260,在线支付,晚上
34,2023-02-04,法兰基卷,快餐,50,12,600,在线支付,傍晚
35,,瓦达汉堡,快餐,20,8,160,现金,早晨
36,2022-07-02,冰咖啡,饮品,40,10,400,在线支付,下午
37,2023-01-05,法兰基卷,快餐,50,10,500,现金,晚上
38,2023-03-08,脆球点心,快餐,20,12,240,在线支付,晚上
39,,瓦达汉堡,快餐,20,2,40,在线支付,傍晚
40,2023-02-05,招牌三明治,快餐,60,5,300,在线支付,晚上
41,,冰咖啡,饮品,40,11,440,其他,下午
42,2022-05-09,咖喱土豆球,快餐,20,8,160,在线支付,晚上
43,,瓦达汉堡,快餐,20,1,20,现金,晚上
44,,冰咖啡,饮品,40,12,480,现金,傍晚
45,,新鲜甘蔗汁,饮品,25,6,150,现金,下午
46,2022-05-07,瓦达汉堡,快餐,20,7,140,现金,傍晚
47,2022-07-10,招牌三明治,快餐,60,7,420,其他,早晨
48,,招牌三明治,快餐,60,14,840,在线支付,下午
49,2022-11-06,法兰基卷,快餐,50,4,200,在线支付,早晨
50,2022-11-02,瓦达汉堡,快餐,20,8,160,现金,午夜
51,,法兰基卷,快餐,50,15,750,在线支付,早晨
52,,新鲜甘蔗汁,饮品,25,12,300,现金,午夜
53,,咖喱土豆球,快餐,20,13,260,现金,下午
54,,脆球点心,快餐,20,14,280,在线支付,早晨
55,2022-05-07,招牌三明治,快餐,60,10,600,现金,晚上
56,,脆球点心,快餐,20,11,220,现金,午夜
57,2022-08-04,脆球点心,快餐,20,14,280,在线支付,早晨
58,2023-02-03,瓦达汉堡,快餐,20,6,120,在线支付,早晨
59,2022-07-01,瓦达汉堡,快餐,20,5,100,现金,早晨
60,2022-06-11,冰咖啡,饮品,40,2,80,在线支付,晚上
61,,瓦达汉堡,快餐,20,14,280,现金,下午
62,,新鲜甘蔗汁,饮品,25,3,75,现金,下午
63,2022-12-01,招牌三明治,快餐,60,7,420,在线支付,早晨
64,2022-12-09,冰咖啡,饮品,40,1,40,现金,早晨
65,,咖喱土豆球,快餐,20,4,80,现金,早晨
66,2022-04-05,法兰基卷,快餐,50,2,100,现金,早晨
67,,咖喱土豆球,快餐,20,9,180,现金,午夜
68,,冰咖啡,饮品,40,2,80,其他,晚上
69,2023-01-10,瓦达汉堡,快餐,20,7,140,现金,午夜
70,2022-05-09,冰咖啡,饮品,40,14,560,其他,早晨
71,2022-12-05,冰咖啡,饮品,40,6,240,在线支付,晚上
72,2023-03-09,法兰基卷,快餐,50,13,650,在线支付,下午
