订单ID,日期,菜品名称,菜品分类,单价,数量,交易总额(元),支付方式,售卖时段
1,2022-07-01,冰咖啡,饮品,40,4,160,在线支付,早晨
2,2022-07-01,瓦达汉堡,快餐,20,8,160,在线支付,晚上
3,2022-07-01,脆球点心,快餐,20,8,160,现金,傍晚
4,2022-07-01,咖喱土豆球,快餐,20,8,160,现金,晚上
5,2022-07-01,法兰基卷,快餐,50,8,400,其他,晚上
6,2022-07-01,瓦达汉堡,快餐,20,10,200,现金,早晨
7,2022-07-01,法兰基卷,快餐,50,2,100,其他,午夜
8,2022-07-01,咖喱土豆球,快餐,20,8,160,现金,晚上
9,2022-07-01,冰咖啡,饮品,40,4,160,现金,晚上
10,2022-07-01,瓦达汉堡,快餐,20,7,140,现金,午夜
11,2022-07-01,脆球点心,快餐,20,14,280,其他,午夜
12,2022-07-01,冰咖啡,饮品,40,8,320,其他,晚上
13,2022-07-01,法兰基卷,快餐,50,2,100,现金,下午
14,2022-07-01,法兰基卷,快餐,50,7,350,在线支付,傍晚
15,2022-07-01,新鲜甘蔗汁,饮品,25,8,200,现金,傍晚
16,2022-07-01,招牌三明治,快餐,60,15,900,现金,下午
17,2022-07-01,法兰基卷,快餐,50,1,50,现金,早晨
18,2022-07-01,冰咖啡,饮品,40,12,480,在线支付,午夜
19,2022-07-01,咖喱土豆球,快餐,20,9,180,现金,晚上
20,2022-07-01,瓦达汉堡,快餐,20,15,300,在线支付,早晨
21,2022-07-01,招牌三明治,快餐,60,7,420,在线支付,傍晚
22,2022-07-01,招牌三明治,快餐,60,1,60,现金,晚上
23,2022-07-01,法兰基卷,快餐,50,5,250,在线支付,早晨
24,2022-07-01,法兰基卷,快餐,50,11,550,在线支付,早晨
25,2022-07-01,脆球点心,快餐,20,2,40,在线支付,早晨
26,2022-07-01,咖喱土豆球,快餐,20,2,40,其他,下午
27,2022-07-01,法兰基卷,快餐,50,3,150,现金,傍晚
28,2022-07-01,冰咖啡,饮品,40,3,120,现金,傍晚
29,2022-07-01,新鲜甘蔗汁,饮品,25,4,100,在线支付,午夜
30,2022-07-01,瓦达汉堡,快餐,20,5,100,在线支付,傍晚
31,2022-07-01,冰咖啡,饮品,40,1,40,在线支付,晚上
32,2022-07-01,招牌三明治,快餐,60,13,780,现金,早晨
33,2022-07-01,法兰基卷,快餐,50,1,50,在线支付,下午
34,2022-07-01,新鲜甘蔗汁,饮品,25,10,250,现金,午夜
35,2022-07-01,招牌三明治,快餐,60,6,360,现金,傍晚
36,2022-07-01,法兰基卷,快餐,50,7,350,现金,下午
37,2022-07-01,脆球点心,快餐,20,6,120,现金,午夜
38,2022-07-01,瓦达汉堡,快餐,20,7,140,在线支付,傍晚
39,2022-07-01,新鲜甘蔗汁,饮品,25,9,225,现金,下午
40,2022-07-01,招牌三明治,快餐,60,13,780,在线支付,早晨
41,2022-07-01,新鲜甘蔗汁,饮品,25,6,150,现金,早晨
42,2022-07-01,新鲜甘蔗汁,饮品,25,13,325,在线支付,晚上
43,2022-07-01,咖喱土豆球,快餐,20,4,80,在线支付,傍晚
44,2022-07-01,瓦达汉堡,快餐,20,9,180,现金,下午
45,2022-07-01,新鲜甘蔗汁,饮品,25,4,100,在线支付,傍晚
46,2022-07-01,法兰基卷,快餐,50,15,750,现金,傍晚
47,2022-07-01,咖喱土豆球,快餐,20,6,120,现金,傍晚
48,2022-07-01,冰咖啡,饮品,40,6,240,现金,早晨
49,2022-07-01,招牌三明治,快餐,60,10,600,现金,傍晚
50,2022-07-01,瓦达汉堡,快餐,20,15,300,在线支付,下午
51,2022-07-01,招牌三明治,快餐,60,14,840,在线支付,傍晚
52,2022-07-01,咖喱土豆球,快餐,20,5,100,现金,晚上
53,2022-07-01,冰咖啡,饮品,40,3,120,在线支付,晚上
54,2022-07-01,法兰基卷,快餐,50,6,300,在线支付,晚上
55,2022-07-01,瓦达汉堡,快餐,20,3,60,现金,早晨
56,2022-07-01,脆球点心,快餐,20,11,220,其他,早晨
57,2022-07-01,瓦达汉堡,快餐,20,11,220,现金,下午
58,2022-07-01,冰咖啡,饮品,40,8,320,在线支付,傍晚
59,2022-07-01,瓦达汉堡,快餐,20,15,300,现金,下午
60,2022-07-01,脆球点心,快餐,20,12,240,现金,早晨
61,2022-07-01,咖喱土豆球,快餐,20,2,40,在线支付,傍晚
62,2022-07-01,新鲜甘蔗汁,饮品,25,9,225,在线支付,傍晚
63,2022-07-01,瓦达汉堡,快餐,20,5,100,现金,早晨
